,BOOK VALUE (Rs),DELIVERABLES (%),DIV (%),DIV YIELD.(%),EPS (TTM),FACE VALUE (Rs),INDUSTRY P/E,MARKET CAP (Rs Cr),Market Lot,P/C,P/E,PRICE/BOOK,bse_52wk_high,bse_52wk_low,bse_price,company_name,nse_52wk_high,nse_52wk_low,nse_price
NBCC (India),16.54, 43.75 new,100.00%,0.95%,3.90,2.00,35.29,"18,972.00",1,53.64,54.05,12.74,219.00,133.07,210.80,NBCC (India),218.60,132.71,211.45
NCC,65.37, 47.62 new,30.00%,0.67%,4.06,2.00,35.29,"4,997.82",1,14.81,22.14,1.38,103.75,71.20,89.90,NCC,103.65,70.80,89.85
NGL Fine Chem,94.71, 90.80 new,0.00%,-%,23.03,5.00,29.58,263.65,1,15.23,18.53,4.51,461.00,236.70,426.75,NGL Fine Chem,NA,NA,NA
NI15,,,,,,,,,,,,,,,,NI15,,,
NINtec SYSTEMS ,10.83,  new,0.00%,-%,* -,10.00,18.51,0.00,5000,-,-,-,NA,NA,NA,NINtec SYSTEMS ,NA,NA,NA
NK Industries,-797.18, 100 new,0.00%,-%,-,10.00,15.59,29.78,1,3.18,-,-,51.00,30.00,49.55,NK Industries,53.20,32.50,48.75
NR Agarwal,96.54, 42.20 new,0.00%,-%,41.27,10.00,11.71,522.83,1,5.52,7.44,3.18,348.90,77.65,307.20,NR Agarwal,NA,NA,NA
NSL,49.65,  new,NA,-%,* -,0.00,-,0.00,100,-,-,-,NA,NA,NA,NSL,NA,NA,NA
NTPC (FPO),,,,,,,,,,,,,,,,NTPC (FPO),,,
Nachmo Knitex,-21.74,  new,0.00%,-%,-,10.00,27.33,0.00,1,-,-,-,NA,NA,NA,Nachmo Knitex,NA,NA,NA
Nagarjuna Agric,14.09, 87.70 new,12.50%,0.33%,2.32,1.00,46.58,593.35,1,9.20,16.38,2.70,39.90,16.40,38.00,Nagarjuna Agric,39.95,25.90,38.00
Nagarjuna Drugs,-0.98,  new,0.00%,-%,-,0.00,1.55,0.00,1,-,-,-,NA,NA,NA,Nagarjuna Drugs,NA,NA,NA
Nagarjuna Fert,24.58, 71.34 new,0.00%,-%,-,1.00,17.49,852.24,1,-,-,0.58,20.45,8.61,14.25,Nagarjuna Fert,20.40,8.65,14.20
Nagpur Alloy,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Nagpur Alloy,NA,NA,NA
Naina Semicondu,12.69,  new,0.00%,-%,0.09,10.00,22.03,0.00,100,-,-,-,NA,NA,NA,Naina Semicondu,NA,NA,NA
Nalin Leasing,30.67, 100 new,0.00%,-%,3.14,10.00,39.26,9.57,1,8.63,9.35,0.96,29.50,9.80,29.35,Nalin Leasing,NA,NA,NA
Nam Securities,14.74,  new,0.00%,-%,0.51,10.00,39.26,13.77,1,53.12,88.53,3.06,50.50,28.40,45.15,Nam Securities,NA,NA,NA
Namaste Exports,0.68,  new,0.00%,-%,0.43,1.00,27.40,0.00,1,-,-,-,NA,NA,NA,Namaste Exports,NA,NA,NA
Namtech Electro,-1.59,  new,0.00%,-%,-,10.00,23.04,0.00,1,-,-,-,NA,NA,NA,Namtech Electro,NA,NA,NA
Narain Jewels,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Narain Jewels,NA,NA,NA
Narang Ind,2.50,  new,0.00%,-%,0.17,10.00,35.59,0.00,1,-,-,-,NA,NA,NA,Narang Ind,NA,NA,NA
Narayana Hruda,51.79, 90.54 new,0.00%,-%,4.65,10.00,54.86,"6,212.57",1,38.05,65.38,5.87,375.00,286.80,304.00,Narayana Hruda,379.00,281.00,304.15
Narendra Invest,10.89,  new,0.00%,-%,0.56,10.00,39.26,7.28,1,38.25,43.04,2.21,29.15,11.70,24.10,Narendra Invest,NA,NA,NA
National Auto,-11.84,  new,0.00%,-%,* -,0.00,14.40,0.00,100,-,-,-,NA,NA,NA,National Auto,NA,NA,NA
National Plywoo,-69.05,  new,0.00%,-%,4.04,10.00,24.78,0.00,1,-,-,-,NA,NA,NA,National Plywoo,NA,NA,NA
Natraj Proteins,87.30,  new,0.00%,-%,0.42,10.00,15.59,9.18,1,11.61,58.33,0.28,36.45,22.95,24.50,Natraj Proteins,NA,NA,NA
Natural Expo,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Natural Expo,NA,NA,NA
Naturite Agro,8.56,  new,0.00%,-%,0.33,10.00,42.80,0.00,1,-,-,-,NA,NA,NA,Naturite Agro,NA,NA,NA
Nava Bharat Ent,13.10,  new,0.00%,-%,* -,10.00,16.19,0.00,100,-,-,-,NA,NA,NA,Nava Bharat Ent,NA,NA,NA
Naveen Textiles,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Naveen Textiles,NA,NA,NA
Navin Fluorine,151.84, 54.28 new,184.92%,0.54%,31.36,2.00,37.92,"3,354.50",1,18.34,21.71,4.48,3434.00,625.00,680.85,Navin Fluorine,699.00,427.32,682.60
Navkar Builders,18.52,  new,5.00%,2.85%,0.21,10.00,35.29,31.44,1,25.81,83.57,0.95,23.00,13.15,17.55,Navkar Builders,NA,NA,NA
Navkar Corp,83.19, 75.80 new,0.00%,-%,6.58,10.00,29.04,"2,883.53",1,25.59,30.73,2.43,246.55,155.00,202.20,Navkar Corp,247.00,154.75,202.65
Neeraj Paper,23.91,  new,0.00%,-%,0.68,10.00,51.24,10.56,1,10.43,14.12,0.40,13.54,5.80,9.60,Neeraj Paper,NA,NA,NA
Neha Exports Lt,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Neha Exports Lt,NA,NA,NA
Neha Intl,65.33, 84.75 new,0.00%,-%,0.84,10.00,7.43,18.19,1,7.45,7.63,0.10,12.00,5.55,6.41,Neha Intl,NA,NA,NA
Neo Corp,45.52, 100 new,0.00%,-%,-,10.00,23.10,15.51,1,-,-,0.09,17.00,2.95,4.08,Neo Corp,NA,NA,NA
Neo Infracon,11.50,  new,0.00%,-%,0.26,10.00,27.76,26.99,1,188.33,195.58,4.42,81.00,38.85,50.85,Neo Infracon,NA,NA,NA
Net Axis Soft,,,,,,,,,,,,,,,,Net Axis Soft,,,
New Era Alkaloi,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,New Era Alkaloi,NA,NA,NA
New Era Urban,9.82,  new,NA,-%,* -,0.00,-,0.00,100,-,-,-,NA,NA,NA,New Era Urban,NA,NA,NA
Nicco Parks,6.60, 100 new,15.00%,0.58%,1.16,1.00,32.17,120.04,1,16.66,22.11,3.89,34.30,22.15,25.65,Nicco Parks,NA,NA,NA
Nicco Uco Fin,-73.08,  new,0.00%,-%,-,2.00,39.26,3.32,1,-,-,-,0.96,0.31,0.40,Nicco Uco Fin,NA,NA,NA
Nidhi Polyester,244.55,  new,0.00%,-%,-,10.00,17.28,0.00,50,-,-,-,NA,NA,NA,Nidhi Polyester,NA,NA,NA
Nila Infra,4.89, 60.49 new,11.00%,0.58%,0.58,1.00,35.29,743.51,1,30.48,32.59,3.87,21.05,11.87,18.90,Nila Infra,21.10,11.00,18.90
Nilkanth Engine,41.37,  new,0.00%,-%,-,10.00,26.39,0.00,50,-,-,-,NA,NA,NA,Nilkanth Engine,NA,NA,NA
Nimbus,,,,,,,,,,,,,,,,Nimbus,,,
Nimbus Foods,2.12, 100 new,0.00%,-%,0.03,1.00,55.93,3.21,1,7.33,14.67,0.21,1.67,0.44,0.44,Nimbus Foods,NA,NA,NA
Nimbus Ind,6.52, 100 new,0.00%,-%,0.38,5.00,7.62,2.21,1,5.37,7.63,0.44,5.01,2.66,2.90,Nimbus Ind,NA,NA,NA
Nirman Cement,9.04,  new,0.00%,-%,-,10.00,44.13,0.00,1,-,-,-,NA,NA,NA,Nirman Cement,NA,NA,NA
Niryat Sam,-18.75,  new,0.00%,-%,* -,10.00,23.97,0.00,100,-,-,-,NA,NA,NA,Niryat Sam,NA,NA,NA
Nitiraj Enginee,49.11, 100 new,0.00%,-%,* -,10.00,27.65,0.00,1200,-,-,1.32,NA,NA,NA,Nitiraj Enginee,100.00,63.00,64.90
Nivedita Mercan,112.07,  new,5.00%,1.45%,2.42,10.00,39.26,34.09,1,14.21,14.21,0.31,49.50,34.20,34.40,Nivedita Mercan,NA,NA,NA
Nivi Trading,8.81,  new,0.00%,-%,-,10.00,32.00,0.00,50,-,-,-,NA,NA,NA,Nivi Trading,NA,NA,NA
Nivyah Infra,80.25,  new,0.00%,-%,-,100.00,30.96,0.00,1,-,-,-,NA,NA,NA,Nivyah Infra,NA,NA,NA
Niwas Spinning,-6.22,  new,0.00%,-%,-,10.00,13.68,0.00,100,-,-,-,NA,NA,NA,Niwas Spinning,NA,NA,NA
Noesis Ind,-90.69,  new,0.00%,-%,-,10.00,6.16,2.05,1,-,-,-,0.86,0.38,0.78,Noesis Ind,0.60,0.10,0.10
Noida Medicare,12.27,  new,0.00%,-%,-,10.00,54.86,0.00,1,-,-,-,NA,NA,NA,Noida Medicare,NA,NA,NA
Norris Medicine,5.40,  new,0.00%,-%,-,10.00,26.20,0.00,1,-,-,-,NA,NA,NA,Norris Medicine,NA,NA,NA
Nova Intl,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Nova Intl,NA,NA,NA
Nova Iron,7.30, 100 new,0.00%,-%,2.06,10.00,13.79,45.86,1,5.33,6.16,1.74,20.30,7.41,12.69,Nova Iron,NA,NA,NA
Nova Pumech,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Nova Pumech,NA,NA,NA
NovaGold Petro,-3.15, 100 new,0.00%,-%,* -,10.00,30.96,0.62,1,-,-,-,3.14,1.12,1.12,NovaGold Petro,NA,NA,NA
Novartis India,326.80, 59.40 new,200.00%,1.59%,16.05,5.00,29.58,"1,772.59",1,36.35,39.25,1.93,758.00,615.00,629.90,Novartis India,NA,NA,NA
Nuchem,-3.73,  new,0.00%,-%,-,10.00,24.69,0.00,1,-,-,-,NA,NA,NA,Nuchem,NA,NA,NA
Numech Emballag,-8.45,  new,0.00%,-%,-,10.00,22.43,0.00,100,-,-,-,NA,NA,NA,Numech Emballag,NA,NA,NA
Nutraplus India,17.90, 100 new,5.00%,0.71%,-,5.00,29.58,119.32,1,-,-,1.96,69.90,19.60,35.00,Nutraplus India,NA,NA,NA
Nyssa Corp,7.58,  new,0.00%,-%,0.21,1.00,51.24,7.35,1,11.67,11.67,0.32,12.64,2.45,2.45,Nyssa Corp,NA,NA,NA
Ocean Agro,31.16,  new,0.00%,-%,0.65,10.00,23.10,27.31,1,33.96,55.38,1.16,44.50,14.15,36.00,Ocean Agro,NA,NA,NA
Ocean Knits Ltd,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Ocean Knits Ltd,NA,NA,NA
Oceanic Magneti,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Oceanic Magneti,NA,NA,NA
Odyssey Tech,16.39, 59.88 new,0.00%,-%,2.93,10.00,18.51,39.49,1,12.58,15.20,2.72,89.00,31.25,44.55,Odyssey Tech,NA,NA,NA
Oil India,278.43, 47.06 new,160.00%,5.68%,19.32,10.00,12.97,"22,570.65",1,8.55,14.58,1.01,489.90,258.00,281.60,Oil India,371.25,257.10,281.75
Olympia Capital,0.34,  new,0.00%,-%,-,10.00,27.21,0.00,1,-,-,-,NA,NA,NA,Olympia Capital,NA,NA,NA
Olympia Ind,40.75, 100 new,0.00%,-%,7.98,10.00,24.04,160.47,1,32.09,35.23,6.90,382.00,135.00,281.10,Olympia Ind,NA,NA,NA
Olympic Oil Ind,128.32,  new,0.00%,-%,20.03,10.00,30.67,21.38,1,3.60,3.74,0.58,74.90,30.70,74.90,Olympic Oil Ind,NA,NA,NA
Om Sindoori Hot,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Om Sindoori Hot,NA,NA,NA
Omansh Ente,2.05, 100 new,0.00%,-%,0.01,2.00,23.39,20.41,1,575.00,"1,150.00",5.61,22.75,11.50,11.50,Omansh Ente,NA,NA,NA
Omkar Special,75.75, 46.30 new,15.00%,1.67%,-,10.00,46.30,185.00,1,-,-,1.19,205.90,74.85,89.90,Omkar Special,206.00,74.35,89.95
Omni Dye-Chem,4.76,  new,0.00%,-%,* -,10.00,23.70,0.00,1,-,-,-,NA,NA,NA,Omni Dye-Chem,NA,NA,NA
Omnitex Ind,14.08,  new,0.00%,-%,-,10.00,24.04,7.74,1,-,-,1.31,19.80,13.00,18.40,Omnitex Ind,NA,NA,NA
Ontrack Systems,15.12,  new,0.00%,-%,-,10.00,18.51,0.00,1,-,-,-,NA,NA,NA,Ontrack Systems,NA,NA,NA
Oracle Credit,9.93, 100 new,0.00%,-%,0.06,10.00,39.26,10.07,1,259.29,302.50,1.83,18.15,12.50,18.15,Oracle Credit,NA,NA,NA
Orbit Corp,30.09,  new,0.00%,-%,-,10.00,35.29,24.16,1,-,-,0.07,8.28,1.68,2.12,Orbit Corp,8.25,1.80,2.10
Orbit Exports,39.08, 61.49 new,37.50%,2.54%,7.12,10.00,22.67,424.22,1,15.57,20.76,3.78,352.30,117.65,147.80,Orbit Exports,184.00,102.65,149.50
Orde Textiles,15.56,  new,NA,-%,* -,0.00,-,0.00,100,-,-,-,NA,NA,NA,Orde Textiles,NA,NA,NA
Organic Chemoil,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Organic Chemoil,NA,NA,NA
Orient Bell,97.14, 55.84 new,5.00%,0.19%,7.79,10.00,34.04,373.61,1,13.17,33.80,2.71,298.00,138.80,263.30,Orient Bell,298.00,138.00,260.70
Orient Green,11.63, 63.20 new,0.00%,-%,-,10.00,14.55,648.80,1,-,-,0.75,11.99,7.84,8.77,Orient Green,11.95,7.90,8.80
Orient Refract,22.75, 71.11 new,145.00%,0.98%,5.71,1.00,117.22,"1,780.46",1,23.75,25.95,6.51,153.10,89.05,148.20,Orient Refract,154.50,89.00,148.60
Orind Exports,2.48,  new,0.00%,-%,-,10.00,71.78,0.00,100,-,-,-,NA,NA,NA,Orind Exports,NA,NA,NA
Orion Acids,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Orion Acids,NA,NA,NA
Orissa Lamps,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Orissa Lamps,NA,NA,NA
Orissa Minerals,1402.51, 58.15 new,265.78%,0.14%,10.94,1.00,10.65,"1,170.15",1,102.54,178.27,1.39,2695.00,1860.00,1950.25,Orissa Minerals,2694.00,1860.30,1954.25
Orissa Sponge,-85.51,  new,0.00%,-%,-,10.00,13.79,0.00,1,-,-,-,NA,NA,NA,Orissa Sponge,NA,NA,NA
Orissaa Organic,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Orissaa Organic,NA,NA,NA
Ortin Labs,13.97, 81.42 new,0.00%,-%,0.23,10.00,29.58,28.29,1,13.58,72.61,1.20,26.65,15.65,16.70,Ortin Labs,26.75,15.10,16.85
Orton Synthetic,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Orton Synthetic,NA,NA,NA
Oscar Global,12.44, 100 new,0.00%,-%,-,10.00,40.52,1.96,1,15.61,-,0.48,8.48,4.17,5.93,Oscar Global,NA,NA,NA
Osho Ceramics L,-15.02,  new,0.00%,-%,* -,0.00,-,0.00,100,-,-,-,NA,NA,NA,Osho Ceramics L,NA,NA,NA
Oswal Agro,41.69, 73.07 new,0.00%,-%,0.44,10.00,39.26,162.29,1,26.87,27.48,0.29,13.50,9.13,12.09,Oswal Agro,NA,NA,NA
Oswal ChemandFe,86.06, 83.22 new,0.00%,-%,3.32,10.00,39.26,0.00,1,7.36,-,0.29,NA,NA,NA,Oswal ChemandFe,34.50,22.70,25.10
Oswal Leasing,51.28,  new,0.00%,-%,1.49,10.00,27.21,0.00,50,-,-,-,NA,NA,NA,Oswal Leasing,NA,NA,NA
Oversanmar,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Oversanmar,NA,NA,NA
P C Products,8.15,  new,0.00%,-%,-,10.00,51.24,20.21,1,-,-,2.42,19.70,7.00,19.70,P C Products,NA,NA,NA
PAE,-40.20,  new,0.00%,-%,-,10.00,79.31,8.34,1,-,-,-,18.90,8.00,8.00,PAE,18.90,7.95,9.50
PAL Credit,-1.39,  new,0.00%,-%,* -,1.00,39.26,0.00,1,-,-,-,NA,NA,NA,PAL Credit,NA,NA,NA
PAL-Peugeot,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,PAL-Peugeot,NA,NA,NA
PBA Infra,32.32, 45.29 new,0.00%,-%,-,10.00,27.66,27.54,1,-,-,0.63,31.55,17.00,20.40,PBA Infra,31.65,17.00,20.50
PCS,21.44, 90.75 new,0.00%,-%,1.98,10.00,33.50,45.99,1,8.82,11.09,1.02,36.00,20.00,21.95,PCS,NA,NA,NA
PFC FPO,,,,,,,,,,,,,,,,PFC FPO,,,
PG Electroplast,75.14, 47.31 new,0.00%,-%,2.33,10.00,25.89,534.53,1,37.91,139.76,4.33,355.00,123.00,325.65,PG Electroplast,354.85,122.80,322.85
PI Industries,117.25, 43.56 new,310.00%,0.41%,33.24,1.00,46.58,"10,513.68",1,19.84,22.99,6.52,950.10,734.05,764.15,PI Industries,963.95,726.65,765.10
PL Finance,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,PL Finance,NA,NA,NA
PPAP Automotive,167.38, 42.33 new,20.00%,0.58%,17.08,10.00,33.56,479.43,1,9.93,20.05,2.05,402.70,141.50,342.45,PPAP Automotive,401.80,142.15,343.80
Paam Pharma,-74.44,  new,0.00%,-%,-,10.00,23.62,0.00,1,-,-,-,NA,NA,NA,Paam Pharma,NA,NA,NA
Pace Automation,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Pace Automation,NA,NA,NA
Pagaria Energy,14.07,  new,0.00%,-%,0.02,10.00,18.51,2.17,1,41.67,250.00,0.36,5.70,1.60,5.00,Pagaria Energy,NA,NA,NA
Paintex Chem,-2.69,  new,0.00%,-%,* -,10.00,5.05,0.00,100,-,-,-,NA,NA,NA,Paintex Chem,NA,NA,NA
Pals Distil,NA,  new,12.00%,-%,-,NA,-,0.00,100,-,-,-,NA,NA,NA,Pals Distil,NA,NA,NA
Pam Raffia Ltd,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Pam Raffia Ltd,NA,NA,NA
Pampasar Dist,NA,  new,15.00%,-%,-,NA,-,0.00,1,-,-,-,NA,NA,NA,Pampasar Dist,NA,NA,NA
Pamwi Tissues,-26.21,  new,0.00%,-%,-,10.00,25.91,0.00,50,-,-,-,NA,NA,NA,Pamwi Tissues,NA,NA,NA
Panacea Biotec,71.42, 18.61 new,0.00%,-%,-,1.00,29.58,857.20,1,-,-,1.96,178.30,103.00,139.95,Panacea Biotec,178.60,100.10,140.45
Panafic Ind,1.15, 61.73 new,2.00%,0.57%,0.04,1.00,39.26,28.74,1,87.50,87.50,3.04,28.50,2.88,3.50,Panafic Ind,NA,NA,NA
Panasonic AVC,11.37,  new,21.00%,-%,0.94,10.00,7.99,0.00,1,-,-,-,NA,NA,NA,Panasonic AVC,NA,NA,NA
Panchmahal Cem,-2.08,  new,NA,-%,* -,10.00,16.15,0.00,100,-,-,-,NA,NA,NA,Panchmahal Cem,NA,NA,NA
Panchsheel Org,48.05, 100 new,10.00%,1.06%,6.40,10.00,29.58,47.14,1,10.66,14.69,1.96,130.90,66.30,94.00,Panchsheel Org,NA,NA,NA
Pandian Graphit,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Pandian Graphit,NA,NA,NA
Pankaj Polypack,7.07,  new,0.00%,-%,1.63,10.00,23.10,11.11,1,17.96,22.15,5.11,44.10,13.59,36.10,Pankaj Polypack,NA,NA,NA
Pansari Develop,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Pansari Develop,NA,NA,NA
Panyam Cements,15.29, 65.97 new,0.00%,-%,2.51,10.00,42.58,109.43,1,9.72,25.86,4.24,90.05,44.80,64.90,Panyam Cements,NA,NA,NA
Parakram Techno,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Parakram Techno,NA,NA,NA
Parenteral Drug,-33.64, 98.70 new,0.00%,-%,-,10.00,29.58,67.98,1,-,-,-,35.00,19.15,22.80,Parenteral Drug,33.75,19.30,22.80
Pariksha Fin-In,10.15,  new,0.00%,-%,0.15,10.00,39.26,0.00,1,-,-,-,NA,NA,NA,Pariksha Fin-In,NA,NA,NA
Parsoli CapandF,11.46,  new,0.00%,-%,-,10.00,27.21,0.00,1,-,-,-,NA,NA,NA,Parsoli CapandF,NA,NA,NA
Partap Ind,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Partap Ind,NA,NA,NA
Parth Housing,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Parth Housing,NA,NA,NA
Pasari Spinning,1.18,  new,0.00%,-%,-,10.00,10.59,4.00,1,290.00,-,2.46,3.00,0.77,2.90,Pasari Spinning,NA,NA,NA
Pashupati Cable,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Pashupati Cable,NA,NA,NA
Pat-Parth Eng,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Pat-Parth Eng,NA,NA,NA
Patel Food Prod,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Patel Food Prod,NA,NA,NA
Patel On-Board,56.20,  new,10.00%,-%,9.67,10.00,37.20,0.00,1,-,-,-,NA,NA,NA,Patel On-Board,NA,NA,NA
Paul Merchants,1476.42, 97.62 new,0.00%,-%,121.01,10.00,36.99,460.49,1,30.00,37.02,3.03,5147.00,3031.00,4479.45,Paul Merchants,NA,NA,NA
Paushak Ltd,248.47, 59.85 new,0.00%,-%,34.39,10.00,46.58,212.04,1,14.89,19.23,2.66,711.00,505.00,661.15,Paushak Ltd,NA,NA,NA
Pawansut,21.56, 89.71 new,0.00%,-%,0.02,10.00,39.26,13.01,1,230.00,575.00,0.53,23.85,1.98,11.50,Pawansut,NA,NA,NA
Pearl Global In,135.38, 76.83 new,30.00%,1.84%,4.03,10.00,40.41,353.77,1,17.73,40.52,1.21,232.00,110.00,163.30,Pearl Global In,233.95,110.00,165.00
Pentafour Prod,31.75,  new,0.00%,-%,* -,0.00,4.00,0.00,100,-,-,-,NA,NA,NA,Pentafour Prod,NA,NA,NA
Pentamedia,2.72, 71.11 new,0.00%,-%,0.03,1.00,43.78,30.30,1,6.08,24.33,0.27,0.93,0.53,0.73,Pentamedia,NA,NA,NA
Pentokey Organy,9.09,  new,0.00%,-%,15.32,10.00,11.75,14.24,1,1.39,1.48,2.50,26.75,8.63,22.70,Pentokey Organy,NA,NA,NA
Perfect Circle,10.65,  new,30.00%,-%,-,1.00,22.15,0.00,1,-,-,-,NA,NA,NA,Perfect Circle,NA,NA,NA
Persian Carpet,-11.90,  new,0.00%,-%,* -,10.00,32.00,0.00,100,-,-,-,NA,NA,NA,Persian Carpet,NA,NA,NA
Persistent,226.80, 79.93 new,60.00%,0.93%,36.18,10.00,18.51,"5,150.80",1,14.70,17.80,2.84,710.00,501.10,643.85,Persistent,707.00,559.00,644.95
Pet Plastics,286.77,  new,0.00%,-%,12.83,10.00,35.22,0.00,1,-,-,-,NA,NA,NA,Pet Plastics,NA,NA,NA
Petronet LNG,53.88, 76.85 new,25.00%,1.23%,11.37,10.00,18.98,"30,375.00",1,14.64,17.81,3.76,458.80,200.00,202.50,Petronet LNG,229.50,147.70,202.45
Pharma Prod,-101.80,  new,0.00%,-%,-,10.00,23.62,0.00,1,-,-,-,NA,NA,NA,Pharma Prod,NA,NA,NA
Pharmaids Pharm,4.32, 100 new,0.00%,-%,0.24,10.00,29.58,1.06,1,7.21,12.92,0.72,4.97,2.50,3.10,Pharmaids Pharm,NA,NA,NA
Pharmasia,17.56, 100 new,0.00%,-%,0.17,10.00,29.58,16.25,1,29.02,140.00,1.36,33.50,13.50,23.80,Pharmasia,NA,NA,NA
Phoenix Elect,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Phoenix Elect,NA,NA,NA
Phoenix Mills,157.88, 76.55 new,110.00%,0.45%,8.72,2.00,35.29,"7,481.15",1,45.72,56.05,3.10,574.30,285.05,488.75,Phoenix Mills,575.00,283.10,491.10
Piccadilly Agro,14.29, 94.17 new,0.00%,-%,0.85,10.00,7.85,96.60,1,4.57,12.05,0.72,25.80,8.00,10.24,Piccadilly Agro,NA,NA,NA
Pidilite Ind,69.71, 51.65 new,415.00%,0.53%,14.01,1.00,46.30,"40,330.19",1,49.88,56.15,11.28,837.10,568.75,786.65,Pidilite Ind,838.55,567.75,787.90
Pil Italica,0.90, 93.20 new,0.00%,-%,0.40,1.00,33.56,316.82,1,33.95,34.80,15.47,39.10,7.26,13.92,Pil Italica,20.20,7.26,14.05
Pincon Spirit,20.76, 87.98 new,7.50%,1.07%,9.76,10.00,94.25,308.82,1,6.74,7.18,3.37,80.30,54.85,70.05,Pincon Spirit,80.15,54.00,70.20
Pioneer Agro,3.14, 100 new,0.00%,-%,0.90,10.00,15.59,4.70,1,11.78,12.04,3.45,12.60,8.56,10.84,Pioneer Agro,NA,NA,NA
Pioneer Invest,93.79, 100 new,0.00%,-%,10.55,10.00,39.26,60.87,1,4.52,4.69,0.53,84.80,17.85,49.50,Pioneer Invest,NA,NA,NA
Pithampur Poly,-4.98,  new,0.00%,-%,-,10.00,23.10,0.00,100,-,-,-,NA,NA,NA,Pithampur Poly,NA,NA,NA
Pix Autos,10.52,  new,0.00%,-%,0.34,0.00,-,0.00,100,-,-,-,NA,NA,NA,Pix Autos,NA,NA,NA
Plama Labs,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Plama Labs,NA,NA,NA
Polylink Polyme,5.37, 99.48 new,0.00%,-%,0.58,5.00,18.98,44.22,1,23.53,34.48,3.72,23.50,8.00,20.00,Polylink Polyme,NA,NA,NA
Ponds,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Ponds,NA,NA,NA
Pooja Entertain,21.43,  new,0.00%,-%,4.80,10.00,43.78,7.80,1,3.23,3.25,0.73,15.60,6.40,15.60,Pooja Entertain,NA,NA,NA
Pooja Granites ,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Pooja Granites ,NA,NA,NA
Positive Elect,11.74,  new,0.00%,-%,-,10.00,25.89,0.00,1,-,-,-,NA,NA,NA,Positive Elect,NA,NA,NA
Poysha,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Poysha,NA,NA,NA
Prabhat Dairy,57.06, 70.25 new,4.00%,0.29%,2.62,10.00,55.93,"1,326.93",1,31.81,51.85,2.38,150.00,76.80,135.85,Prabhat Dairy,151.00,74.00,136.10
Prakash Ceramic,9.13,  new,0.00%,-%,-,10.00,28.03,0.00,100,-,-,-,NA,NA,NA,Prakash Ceramic,NA,NA,NA
Prakash Leasing,-0.11,  new,0.00%,-%,-,10.00,27.21,0.00,100,-,-,-,NA,NA,NA,Prakash Leasing,NA,NA,NA
Prakash Steelag,-2.34, 100 new,0.00%,-%,-,1.00,20.73,9.80,1,-,-,-,2.18,0.56,0.56,Prakash Steelag,2.15,0.55,0.60
