,**MARKET CAP (Rs Cr),BOOK VALUE (Rs),DELIVERABLES (%),DIV (%),DIV YIELD.(%),EPS (TTM),FACE VALUE (Rs),INDUSTRY P/E,MARKET CAP (Rs Cr),Market Lot,P/C,P/E,PRICE/BOOK,bse_52wk_high,bse_52wk_low,bse_price,company_name,nse_52wk_high,nse_52wk_low,nse_price
National Ind,,39.02,  new,0.00%,-%,0.69,10.00,12.55,13.36,1,14.55,35.00,0.62,24.15,23.55,24.15,National Ind,NA,NA,NA
National Switch,,-36.21,  new,0.00%,-%,* -,10.00,32.81,0.00,100,-,-,-,NA,NA,NA,National Switch,NA,NA,NA
National Tech,,32.71, 93.20 new,0.00%,-%,1.13,10.00,33.56,23.10,1,10.95,33.63,1.16,58.00,33.20,38.00,National Tech,NA,NA,NA
Navcom Ind,,-21.10,  new,0.00%,-%,-,10.00,17.38,0.00,100,-,-,-,NA,NA,NA,Navcom Ind,NA,NA,NA
Nayagara Paper,,-12.80,  new,0.00%,-%,* -,10.00,17.54,0.00,100,-,-,-,NA,NA,NA,Nayagara Paper,NA,NA,NA
Naysaa Sec,,13.60,  new,0.00%,-%,* -,10.00,39.26,8.00,4000,-,-,1.69,38.00,19.00,23.00,Naysaa Sec,NA,NA,NA
Nectar Life,,47.51, 63.86 new,10.00%,0.32%,2.46,1.00,29.58,694.09,1,5.92,12.58,0.65,43.65,28.55,30.95,Nectar Life,43.65,28.50,30.95
Neelamalai Agro,,622.23,  new,200.00%,1.55%,29.32,10.00,32.72,80.99,100,28.99,44.03,2.07,1521.45,919.00,1291.00,Neelamalai Agro,NA,NA,NA
Neelkanth Rock,,11.12,  new,0.00%,-%,-,10.00,25.81,0.00,1,-,-,-,NA,NA,NA,Neelkanth Rock,NA,NA,NA
Neha Proteins,,-3.67,  new,0.00%,-%,* -,10.00,12.10,0.00,100,-,-,-,NA,NA,NA,Neha Proteins,NA,NA,NA
Neo Intex Mills,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Neo Intex Mills,NA,NA,NA
Neotech Sec,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Neotech Sec,NA,NA,NA
Netflier Finco,,192.39,  new,0.00%,-%,2.72,10.00,25.08,0.00,1,-,-,-,NA,NA,NA,Netflier Finco,NA,NA,NA
Netlink Sol,,32.99, 100 new,0.00%,-%,1.86,10.00,18.51,2.52,1,4.21,4.57,0.26,14.15,4.85,8.50,Netlink Sol,NA,NA,NA
Netripples Com,,,,,,,,,,,,,,,,,Netripples Com,,,
Nettlinx,,17.79, 86.40 new,0.00%,-%,2.49,10.00,29.08,105.18,1,32.54,36.85,5.16,156.00,86.55,91.75,Nettlinx,NA,NA,NA
Netvision Web,,20.64,  new,0.00%,-%,-,10.00,18.34,0.00,1,-,-,-,NA,NA,NA,Netvision Web,NA,NA,NA
Netwest Finance,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Netwest Finance,NA,NA,NA
Network 18,"5,847.21",23.93, 43.34 new,0.00%,-%,-,5.00,39.26,,1,-,-,2.33,59.25,30.50,55.85,Network 18,59.30,27.45,55.60
Neueon Towers,,28.29, 99.19 new,0.00%,-%,-,10.00,17.82,27.99,1,-,-,0.17,12.40,3.51,4.95,Neueon Towers,12.40,3.80,5.00
New India Ind,,470.14,  new,NA,-%,-,0.00,-,0.00,5,-,-,-,NA,NA,NA,New India Ind,NA,NA,NA
New Markets Adv,,9.48,  new,0.00%,-%,-,10.00,20.05,0.00,1,-,-,-,NA,NA,NA,New Markets Adv,NA,NA,NA
New Sagar Trad,,69.45,  new,0.00%,-%,5.78,10.00,18.34,0.00,50,-,-,-,NA,NA,NA,New Sagar Trad,NA,NA,NA
Newever Trade,,10.04,  new,0.00%,-%,* -,10.00,51.24,5.17,5000,-,-,0.22,2.44,1.27,2.16,Newever Trade,NA,NA,NA
Nexcen Softech,,NA,  new,0.00%,-%,-,NA,-,0.00,0,-,-,-,NA,NA,NA,Nexcen Softech,NA,NA,NA
Nexus Software,,20.37,  new,0.00%,-%,* -,10.00,20.09,0.00,1,-,-,-,NA,NA,NA,Nexus Software,NA,NA,NA
Nihonirman,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Nihonirman,NA,NA,NA
Nikhil Adhesive,,46.08, 99.26 new,0.00%,-%,5.23,10.00,29.64,51.02,1,14.48,25.05,2.84,160.00,47.00,131.00,Nikhil Adhesive,NA,NA,NA
Nikumbh Dairy,,13.41,  new,NA,-%,* -,10.00,43.96,0.00,100,-,-,-,NA,NA,NA,Nikumbh Dairy,NA,NA,NA
Nilachal Refra,,5.90,  new,0.00%,-%,0.31,10.00,117.22,0.00,1,-,-,-,NA,NA,NA,Nilachal Refra,NA,NA,NA
Nimbus Projects,,9.12,  new,0.00%,-%,-,10.00,35.29,49.65,1,-,-,7.32,66.75,26.90,66.75,Nimbus Projects,NA,NA,NA
Niraj Cement,,95.99, 100 new,0.00%,-%,0.52,10.00,35.29,45.46,1,19.62,58.85,0.32,46.90,9.50,30.60,Niraj Cement,NA,NA,NA
Niraj Ispat,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Niraj Ispat,10.00,10.00,10.00
Niraj Petrochem,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Niraj Petrochem,NA,NA,NA
Nirajpetro,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Nirajpetro,NA,NA,NA
Nirma,,184.01,  new,0.00%,-%,8.08,5.00,8.85,0.00,1,-,-,-,NA,NA,NA,Nirma,NA,NA,NA
Nirmal Metal,,1.82,  new,0.00%,-%,1.70,10.00,17.90,0.00,1,-,-,-,NA,NA,NA,Nirmal Metal,NA,NA,NA
Nirup Synchrome,,NA,  new,NA,-%,-,NA,-,0.00,50,-,-,-,NA,NA,NA,Nirup Synchrome,NA,NA,NA
Nishant Paper,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Nishant Paper,NA,NA,NA
Nissan Copper,,11.69,  new,0.00%,-%,-,10.00,55.15,0.00,1,-,-,-,NA,NA,NA,Nissan Copper,NA,NA,NA
Nisu Fincap Ltd,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Nisu Fincap Ltd,NA,NA,NA
Norben Tea,,13.42, 100 new,0.00%,-%,0.09,10.00,32.72,0.00,1,14.50,-,0.43,NA,NA,NA,Norben Tea,10.50,5.70,5.80
North Star Gems,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,North Star Gems,NA,NA,NA
Northern Proj,,102.30,  new,0.00%,-%,-,10.00,18.76,0.00,50,-,-,-,NA,NA,NA,Northern Proj,NA,NA,NA
Nova Steels,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Nova Steels,NA,NA,NA
Nse midcap,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Nse midcap,NA,NA,NA
Nu Tech Corpn,,-36.99,  new,0.00%,-%,-,10.00,39.26,0.00,1,-,-,-,NA,NA,NA,Nu Tech Corpn,NA,NA,NA
Nubal India,,10.39,  new,0.00%,-%,* -,0.00,7.00,0.00,100,-,-,-,NA,NA,NA,Nubal India,NA,NA,NA
Nuway Organic N,,-19.06,  new,0.00%,-%,-,10.00,51.24,0.00,1,-,-,-,NA,NA,NA,Nuway Organic N,NA,NA,NA
O. P. Chains,,44.68, 100 new,0.00%,-%,0.18,10.00,39.26,11.30,5000,75.00,91.67,0.37,26.50,12.75,16.50,O. P. Chains,NA,NA,NA
OCL India,,314.40, 89.76 new,200.00%,0.32%,67.46,2.00,42.58,"7,048.51",1,13.30,18.36,3.94,1319.40,650.00,1238.75,OCL India,1324.00,651.05,1235.35
OK Play,,18.26, 99.21 new,0.00%,-%,0.34,10.00,33.56,308.89,1,75.45,488.24,9.09,210.65,95.90,166.00,OK Play,NA,NA,NA
OM Metals Infra,,60.30, 43.26 new,30.00%,0.51%,1.35,1.00,33.58,563.38,1,23.31,43.33,0.97,61.00,38.30,58.50,OM Metals Infra,61.00,37.00,58.70
Oasis Infotech,,,,,,,,,,,,,,,,,Oasis Infotech,,,
Oasis Sec,,40.41,  new,0.00%,-%,-,10.00,39.26,4.45,1,-,-,0.60,42.40,21.25,24.05,Oasis Sec,NA,NA,NA
Oberoi Plastics,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Oberoi Plastics,NA,NA,NA
Oberoi Realty,,118.87, 62.30 new,20.00%,0.51%,8.90,10.00,35.29,"13,212.23",1,38.37,43.71,3.27,418.00,255.60,389.05,Oberoi Realty,416.00,248.30,386.35
Objectone Info,,13.40,  new,0.00%,-%,-,10.00,20.86,3.46,1,17.32,-,0.25,4.56,1.97,3.29,Objectone Info,NA,NA,NA
Oceanic Foods,,33.38, 100 new,2.50%,0.22%,* -,10.00,55.93,42.00,2000,-,-,3.36,119.90,63.15,112.00,Oceanic Foods,NA,NA,NA
Octal Credit,,10.40,  new,0.00%,-%,-,10.00,39.26,0.00,1,-,-,-,NA,NA,NA,Octal Credit,NA,NA,NA
Octav Invest,,68.58,  new,0.00%,-%,0.87,10.00,19.75,0.00,1,-,-,-,NA,NA,NA,Octav Invest,NA,NA,NA
Odyssey Corp,,19.05, 99.99 new,0.00%,-%,0.54,5.00,43.78,10.48,1,4.75,4.93,0.14,4.50,1.57,2.66,Odyssey Corp,NA,NA,NA
Oil Country,,35.35, 53.83 new,0.00%,-%,-,10.00,20.73,207.50,1,-,-,1.33,61.80,24.70,46.85,Oil Country,61.65,24.60,46.50
Ojas Techno,,9.66,  new,NA,-%,* -,0.00,1.05,0.00,1,-,-,-,NA,NA,NA,Ojas Techno,NA,NA,NA
Omega Lab,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Omega Lab,NA,NA,NA
Omkar Overseas,,10.00,  new,0.00%,-%,0.06,10.00,22.67,0.69,1,22.83,22.83,0.14,1.61,0.55,1.37,Omkar Overseas,NA,NA,NA
Omnitech Infoso,,-14.67, 100 new,0.00%,-%,-,10.00,18.51,1.67,1,-,-,-,3.89,1.23,1.23,Omnitech Infoso,NA,NA,NA
OneSource Ideas,,2.48,  new,0.00%,-%,-,10.00,23.72,0.00,1,-,-,-,NA,NA,NA,OneSource Ideas,NA,NA,NA
Onesource Tech,,13.59,  new,0.00%,-%,* -,10.00,43.78,0.00,10000,-,-,-,NA,NA,NA,Onesource Tech,NA,NA,NA
Onida Finance,,-13.69,  new,NA,-%,-,10.00,21.91,0.00,100,-,-,-,NA,NA,NA,Onida Finance,NA,NA,NA
Onida Saka,,-2.16,  new,0.00%,-%,-,10.00,5.88,0.00,100,-,-,-,NA,NA,NA,Onida Saka,NA,NA,NA
Ontic Finserve,,4.69,  new,0.00%,-%,-,10.00,39.26,224.56,1,"2,495.00",-,5.32,27.30,1.79,24.95,Ontic Finserve,NA,NA,NA
Onward Tech,,31.15, 53.81 new,0.03%,-%,1.53,10.00,18.51,154.57,1,25.20,65.88,3.24,108.50,58.10,100.80,Onward Tech,108.40,56.00,101.60
Opal Industries,,8.47,  new,0.00%,-%,0.14,10.00,6.93,0.00,1,-,-,-,NA,NA,NA,Opal Industries,NA,NA,NA
Optiemus Infra,,32.30, 85.01 new,0.00%,-%,1.15,10.00,21.56,534.62,1,20.23,54.17,1.93,77.50,41.05,62.30,Optiemus Infra,NA,NA,NA
Opto Circuits,,37.26, 71.63 new,0.00%,-%,-,10.00,35.94,227.30,1,-,-,0.25,13.86,8.60,9.38,Opto Circuits,13.90,8.65,9.40
Orient Beverage,,87.96, 100 new,8.00%,0.62%,1.30,10.00,30.96,28.10,1,18.01,100.00,1.48,186.10,105.00,130.00,Orient Beverage,NA,NA,NA
Orient Organics,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Orient Organics,NA,NA,NA
Orient Press,,82.81, 52.38 new,12.50%,1.55%,3.45,10.00,18.03,65.00,1,7.27,23.33,0.97,103.00,57.35,80.50,Orient Press,103.55,56.15,83.00
Oriqua,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Oriqua,NA,NA,NA
Orissa Luminair,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Orissa Luminair,NA,NA,NA
Orkay Ind,,19.74,  new,NA,-%,* -,0.00,-,0.00,100,-,-,-,NA,NA,NA,Orkay Ind,NA,NA,NA
Ortel Comm,,46.27, 76.35 new,0.00%,-%,0.47,10.00,43.78,144.46,1,5.67,100.85,1.02,179.85,47.40,47.40,Ortel Comm,176.75,47.80,47.80
Oscar Inv,,1008.25, 83.35 new,0.00%,-%,50.40,10.00,39.26,485.76,1,5.56,5.58,0.28,408.90,191.00,281.10,Oscar Inv,NA,NA,NA
Oseaspre Con,,53.06,  new,0.00%,-%,-,10.00,27.21,0.00,1,-,-,-,NA,NA,NA,Oseaspre Con,NA,NA,NA
Oswal Greentech,,86.06, 55.63 new,0.00%,-%,-,10.00,39.26,631.75,1,7.21,-,0.29,36.70,22.45,24.60,Oswal Greentech,NA,NA,NA
Oswal Overseas ,,-18.51,  new,0.00%,-%,0.44,10.00,7.85,3.62,1,2.00,12.75,-,5.61,4.50,5.61,Oswal Overseas ,NA,NA,NA
Oswal Spinning,,-1.07,  new,0.00%,-%,-,1.00,10.59,0.00,1,-,-,-,NA,NA,NA,Oswal Spinning,NA,NA,NA
Otoklin Plants,,19.81,  new,0.00%,-%,-,10.00,15.96,0.00,1,-,-,-,NA,NA,NA,Otoklin Plants,NA,NA,NA
Overseas Syn,,3.34,  new,0.00%,-%,-,10.00,23.65,7.25,1,-,-,3.05,15.25,5.00,10.20,Overseas Syn,NA,NA,NA
Ovobel Foods,,9.64, 100 new,0.00%,-%,-,10.00,55.93,23.52,100,-,-,2.32,40.90,12.50,22.40,Ovobel Foods,NA,NA,NA
Oyeeee Media,,18.45,  new,0.00%,-%,* -,10.00,43.78,38.29,3000,-,-,1.40,49.75,25.85,25.85,Oyeeee Media,NA,NA,NA
P R Cements Ltd,,-6.65,  new,0.00%,-%,-,10.00,44.13,0.00,100,-,-,-,NA,NA,NA,P R Cements Ltd,NA,NA,NA
PG Foils,,152.09, 82.67 new,10.00%,0.79%,21.35,10.00,11.50,102.19,1,5.15,5.90,0.83,161.00,51.30,126.00,PG Foils,NA,NA,NA
PH Trading Ltd,,54.04,  new,10.00%,-%,-,10.00,30.76,0.00,50,-,-,-,NA,NA,NA,PH Trading Ltd,NA,NA,NA
PMC Fincorp,,1.18, 61.85 new,0.00%,-%,0.03,1.00,39.26,19.46,1,13.33,13.33,0.34,0.72,0.35,0.40,PMC Fincorp,NA,NA,NA
PNB Premium,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,PNB Premium,NA,NA,NA
PNB Rising 1994,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,PNB Rising 1994,NA,NA,NA
PSP Projects,,NA, 53.61 new,NA,-%,-,NA,-,"1,117.80",NA,-,-,-,316.75,189.05,310.50,PSP Projects,317.50,190.00,309.70
PVR,,203.89, 21.84 new,20.00%,0.15%,19.12,10.00,43.78,"6,276.99",1,29.64,70.24,6.59,1659.70,1011.05,1343.00,PVR,1655.00,1006.20,1340.55
Pacheli Ind,,11.80,  new,0.00%,-%,0.18,10.00,35.29,2.53,1,37.67,37.67,0.57,7.80,5.50,6.78,Pacheli Ind,NA,NA,NA
Pacific Ind,,457.00, 100 new,0.00%,-%,1.46,10.00,25.81,18.52,1,4.77,93.84,0.30,166.95,110.00,137.00,Pacific Ind,NA,NA,NA
Pact Industries,,1.97, 34.24 new,0.00%,-%,0.04,1.00,18.00,20.65,1,41.80,104.50,2.12,77.70,2.80,4.18,Pact Industries,NA,NA,NA
Padmini Tech,,-6.48,  new,0.00%,-%,* -,10.00,36.03,0.00,1,-,-,-,NA,NA,NA,Padmini Tech,NA,NA,NA
Palco Metals,,19.52,  new,0.00%,-%,-,10.00,27.79,0.00,1,-,-,-,NA,NA,NA,Palco Metals,NA,NA,NA
Palred Tech,,58.41, 56.17 new,0.00%,-%,-,10.00,18.51,108.03,1,-,-,1.90,181.80,61.20,111.00,Palred Tech,182.75,58.00,114.00
Pan Asia Global,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Pan Asia Global,NA,NA,NA
Pan Auto,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Pan Auto,NA,NA,NA
Pan Drugs,,-27.08,  new,0.00%,-%,-,10.00,26.20,0.00,100,-,-,-,NA,NA,NA,Pan Drugs,NA,NA,NA
Pan Electroncis,,32.81,  new,0.00%,-%,-,10.00,25.89,0.00,1,-,-,-,NA,NA,NA,Pan Electroncis,NA,NA,NA
Panache Digilif,,NA, 25.00 new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Panache Digilif,122.75,81.00,105.05
PanasonicCarbon,,186.84, 85.50 new,0.00%,-%,32.90,10.00,31.62,263.42,1,16.17,16.68,2.94,610.00,420.00,548.80,PanasonicCarbon,NA,NA,NA
Pankaj Piyush,,582.04, 50.00 new,0.00%,-%,0.37,10.00,39.26,2.01,1,57.76,135.81,0.09,74.00,42.15,50.25,Pankaj Piyush,NA,NA,NA
Pankaj Polymers,,16.36, 100 new,0.00%,-%,1.01,10.00,23.10,4.15,1,4.14,7.42,0.46,16.34,6.32,7.49,Pankaj Polymers,NA,NA,NA
Pantaloon Ind,,42.70,  new,0.00%,-%,-,10.00,65.95,0.00,1,-,-,-,NA,NA,NA,Pantaloon Ind,NA,NA,NA
Parabolic Drugs,,-131.73, 72.68 new,0.00%,-%,-,10.00,29.58,47.22,1,-,-,-,10.39,5.50,7.63,Parabolic Drugs,10.40,5.40,7.50
Paramount Cosme,,50.48, 100 new,5.00%,1.40%,1.00,10.00,57.34,17.33,1,6.59,35.70,0.71,47.95,30.55,35.70,Paramount Cosme,NA,NA,NA
Paramount Print,,-5.60,  new,0.00%,-%,-,10.00,23.10,0.00,1,-,-,-,NA,NA,NA,Paramount Print,NA,NA,NA
Paras Magnetic ,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Paras Magnetic ,NA,NA,NA
Parasrampur Ind,,-33.50,  new,0.00%,-%,-,10.00,4.99,0.00,100,-,-,-,NA,NA,NA,Parasrampur Ind,NA,NA,NA
Parasrampur Syn,,-211.78,  new,0.00%,-%,-,10.00,16.88,0.00,100,-,-,-,NA,NA,NA,Parasrampur Syn,NA,NA,NA
Parekh Aluminex,,47.62,  new,40.00%,-%,-,10.00,23.10,0.00,1,-,-,-,NA,NA,NA,Parekh Aluminex,NA,NA,NA
Park Avenue Eng,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Park Avenue Eng,NA,NA,NA
Parker Agro,,14.02,  new,0.00%,-%,0.16,10.00,51.24,4.51,1,8.50,58.94,0.67,11.86,6.06,9.43,Parker Agro,NA,NA,NA
Parmax Pharma,,NA,  new,NA,-%,0.01,NA,-,0.00,NA,-,-,-,NA,NA,NA,Parmax Pharma,NA,NA,NA
Parnami Credits,,13.10,  new,0.00%,-%,* -,10.00,39.26,3.89,1,-,-,0.89,15.20,6.65,11.61,Parnami Credits,NA,NA,NA
Paro Syntex,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Paro Syntex,NA,NA,NA
Pasumai Irrig,,-20.50,  new,0.00%,-%,* -,10.00,26.15,0.00,100,-,-,-,NA,NA,NA,Pasumai Irrig,NA,NA,NA
Pasupati Acrylo,,13.66, 89.57 new,0.00%,-%,3.82,10.00,9.59,250.46,1,6.12,7.36,2.06,38.65,20.55,28.10,Pasupati Acrylo,NA,NA,NA
Pasupati Fabric,,-19.49,  new,0.00%,-%,* -,10.00,11.85,0.00,1,-,-,-,NA,NA,NA,Pasupati Fabric,NA,NA,NA
Pasupati Fincap,,0.62,  new,0.00%,-%,-,10.00,39.26,2.64,1,-,-,9.05,6.13,2.52,5.61,Pasupati Fincap,NA,NA,NA
Pasupati Haryan,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Pasupati Haryan,NA,NA,NA
Pasupati Spin,,31.08,  new,0.00%,-%,0.80,10.00,10.82,14.94,1,3.03,20.00,0.51,23.00,14.00,16.00,Pasupati Spin,NA,NA,NA
Pasupati Techno,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Pasupati Techno,NA,NA,NA
Patdiam Jewel,,75.11,  new,0.00%,-%,* -,10.00,18.79,43.17,1500,-,-,1.33,127.00,87.00,100.00,Patdiam Jewel,NA,NA,NA
Patel Eng,,110.25, 48.70 new,0.00%,-%,3.22,1.00,35.29,"1,291.28",1,13.37,25.54,0.75,120.50,43.40,82.25,Patel Eng,120.70,43.30,82.40
Patels Airtemp,,132.34, 64.53 new,22.00%,1.12%,15.51,10.00,27.65,99.38,1,9.51,12.64,1.48,222.00,132.05,196.00,Patels Airtemp,NA,NA,NA
Patodia Textile,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Patodia Textile,NA,NA,NA
Patspin India,,4.84, 65.05 new,0.00%,-%,3.24,10.00,10.59,82.87,1,3.79,8.27,5.54,30.75,8.76,26.80,Patspin India,30.85,8.50,26.95
Pearl Engg Poly,,-5.82,  new,0.00%,-%,-,10.00,25.86,0.00,1,-,-,-,NA,NA,NA,Pearl Engg Poly,NA,NA,NA
Pee Cee Cosma,,66.35, 50.00 new,18.00%,1.84%,5.90,10.00,44.76,25.91,1,11.30,16.59,1.48,102.75,61.05,97.90,Pee Cee Cosma,NA,NA,NA
Pennar Alum,,-5.97,  new,0.00%,-%,-,10.00,11.50,1.29,1,-,-,-,0.80,0.21,0.22,Pennar Alum,NA,NA,NA
Pennar Aqua Exp,,-6.86,  new,0.00%,-%,* -,10.00,24.98,0.00,1,-,-,-,NA,NA,NA,Pennar Aqua Exp,NA,NA,NA
Pennar Eng,,69.01, 76.31 new,0.00%,-%,7.12,10.00,27.65,409.59,1,13.72,16.78,1.73,204.00,105.00,119.50,Pennar Eng,204.35,104.55,119.80
Pennar Inds,,30.40, 68.12 new,0.00%,-%,2.50,5.00,23.39,658.31,1,15.76,21.88,1.80,58.00,39.50,54.70,Pennar Inds,58.00,39.40,54.80
Pennar Paterson,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Pennar Paterson,NA,NA,NA
Penta Capsules,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Penta Capsules,NA,NA,NA
Pentasoft Tech,,12.49,  new,0.00%,-%,0.01,10.00,19.73,0.00,0,-,-,-,NA,NA,NA,Pentasoft Tech,NA,NA,NA
Peoples Investm,,0.53,  new,0.00%,-%,-,10.00,27.21,0.00,50,-,-,-,NA,NA,NA,Peoples Investm,NA,NA,NA
Perfect Infra,,16.40,  new,5.00%,2.50%,* -,10.00,33.58,0.00,6000,-,-,1.22,NA,NA,NA,Perfect Infra,23.95,12.15,20.00
Perfect Pack,,147.06, 100 new,0.00%,-%,14.39,10.00,23.10,17.97,1,5.21,9.37,0.92,172.50,67.70,134.90,Perfect Pack,NA,NA,NA
Perk Pharma,,8.87,  new,0.00%,-%,0.46,10.00,26.57,0.00,100,-,-,-,NA,NA,NA,Perk Pharma,NA,NA,NA
Permanent Magne,,15.10, 100 new,0.00%,-%,1.38,10.00,27.65,31.69,1,12.24,26.70,2.44,44.30,15.66,36.85,Permanent Magne,NA,NA,NA
Pervasive Comm,,-1.33,  new,0.00%,-%,6.85,10.00,25.89,0.00,100,-,-,-,NA,NA,NA,Pervasive Comm,NA,NA,NA
Petron Engg,,194.59, 100 new,0.00%,-%,-,10.00,27.65,104.14,1,-,-,0.71,217.15,122.00,138.15,Petron Engg,218.00,121.30,142.80
PharmaciaHealth,,43.27,  new,0.00%,-%,-,5.00,23.62,0.00,1,-,-,-,NA,NA,NA,PharmaciaHealth,NA,NA,NA
Philips Glass,,NA,  new,0.00%,-%,-,NA,-,0.00,1,-,-,-,NA,NA,NA,Philips Glass,NA,NA,NA
Philips India,,140.02,  new,20.00%,-%,* -,10.00,7.99,0.00,1,-,-,-,NA,NA,NA,Philips India,NA,NA,NA
Phillips Carbon,,172.79, 53.72 new,25.00%,0.43%,21.12,10.00,26.40,"2,011.18",1,15.07,27.63,3.38,663.75,185.30,583.50,Phillips Carbon,662.90,185.30,583.35
Phoenix Intl,,41.90, 100 new,0.00%,-%,0.88,10.00,40.52,20.15,1,9.45,13.64,0.29,15.38,8.46,12.00,Phoenix Intl,NA,NA,NA
Phoenix Lamps,,71.48, 95.30 new,0.00%,-%,8.08,10.00,31.51,609.28,1,21.55,26.91,3.04,238.50,131.65,217.45,Phoenix Lamps,240.00,131.00,217.85
Pioneer Distill,,-33.53, 100 new,0.00%,-%,-,10.00,94.25,290.52,1,-,-,-,253.90,103.50,217.00,Pioneer Distill,254.40,102.10,221.05
Piramal Glass,,61.14,  new,10.00%,-%,3.06,10.00,23.05,0.00,1,-,-,-,NA,NA,NA,Piramal Glass,NA,NA,NA
Piramal Holding,,9.49,  new,0.00%,-%,* -,0.00,-,0.00,1,-,-,-,NA,NA,NA,Piramal Holding,NA,NA,NA
Pitamber Coated,,-8.51,  new,0.00%,-%,-,10.00,25.91,0.00,1,-,-,-,NA,NA,NA,Pitamber Coated,NA,NA,NA
Pithampur Steel,,9.35,  new,0.00%,-%,-,10.00,27.66,0.00,1,-,-,-,NA,NA,NA,Pithampur Steel,NA,NA,NA
Pix Transmis,,123.40, 90.52 new,15.00%,1.06%,10.79,10.00,28.32,193.61,1,7.20,13.17,1.15,160.00,41.00,142.10,Pix Transmis,NA,NA,NA
Piyush Steel,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Piyush Steel,NA,NA,NA
Plastiblends,,83.61, 72.62 new,0.00%,-%,12.73,5.00,33.56,714.44,1,16.45,21.59,3.29,631.00,264.00,274.90,Plastiblends,334.40,200.00,270.40
Plethico Pharma,,77.79,  new,0.00%,-%,-,10.00,29.58,0.00,1,-,-,-,NA,NA,NA,Plethico Pharma,NA,NA,NA
Pochiraju Ind,,35.98, 56.03 new,0.00%,-%,-,10.00,7.43,9.38,1,-,-,0.14,11.80,4.75,4.96,Pochiraju Ind,11.65,4.55,5.10
Poddar Housing ,,350.37, 100 new,15.00%,0.15%,1.76,10.00,35.29,632.34,1,374.53,568.18,2.85,1215.00,821.00,1000.00,Poddar Housing ,1185.00,870.00,1014.00
Poddar Pigments,,122.70, 52.15 new,25.00%,0.88%,19.22,10.00,19.71,301.43,1,12.92,14.78,2.32,327.20,180.00,284.10,Poddar Pigments,329.00,170.50,288.20
Pokarna,,205.95, 65.53 new,100.00%,0.77%,18.98,10.00,25.81,803.62,1,35.07,68.28,6.29,1615.00,710.00,1296.00,Pokarna,1618.00,702.25,1291.20
Polar Latex,,-94.10,  new,0.00%,-%,-,10.00,21.08,0.00,1,-,-,-,NA,NA,NA,Polar Latex,NA,NA,NA
Polaris Consult,,73.74, 77.91 new,0.00%,-%,9.72,5.00,18.51,"2,361.09",1,19.41,23.77,3.13,261.00,141.10,231.00,Polaris Consult,261.70,140.95,230.55
Polychem,,418.94, 72.64 new,25.00%,0.58%,11.22,10.00,25.38,17.50,1,27.74,38.59,1.03,560.00,350.00,433.00,Polychem,NA,NA,NA
